GDP per capita,China,Japan,Korea
1960,89.52054151,478.9953402,158.2493033
1961,75.80583793,563.5867598,93.82864905
1962,70.90941167,633.6403152,106.1485057
1963,74.31364345,717.8669152,146.3143419
1964,85.49855516,835.6572525,123.6034948
1965,98.48677775,919.7766882,108.7221312
1966,104.3245662,1058.503561,133.4748485
1967,96.58953194,1228.90921,161.159931
1968,91.47271831,1450.619652,198.431298
1969,100.1299033,1669.0982,243.4224129
1970,113.1629916,2037.559901,279.3049689
1971,118.6545778,2272.077802,301.1765677
1972,131.8835612,2967.041996,324.1962768
1973,157.0903743,3997.84112,406.8988301
1974,160.1400937,4353.824355,563.3559578
1975,178.3418196,4659.120115,617.4560619
1976,165.4055404,5197.806697,834.134208
1977,185.4228329,6335.787627,1055.880041
1978,156.3963885,8821.843492,1405.822374
1979,183.9831522,9105.136097,1783.622313
1980,194.8047222,9465.379714,1715.42946
1981,197.0714745,10361.32306,1883.451279
1982,203.3349195,9578.113803,1992.528225
1983,225.4319289,10425.40682,2198.934472
1984,250.713969,10984.86583,2413.263925
1985,294.4588485,11584.64933,2482.399956
1986,281.9281209,17111.85373,2834.903848
1987,251.811957,20745.25209,3554.595206
1988,283.5376952,25051.85432,4748.629608
1989,310.8819124,24813.29938,5817.029181
1990,317.884673,25359.34702,6610.036508
1991,333.1421454,28925.04158,7636.982429
1992,366.4606923,31464.54905,8126.67039
1993,377.3898395,35765.91409,8884.928319
1994,473.4922787,39268.56687,10385.33617
1995,609.6566792,43440.36787,12564.77813
1996,709.4137551,38436.92631,13403.04959
1997,781.7441643,35021.71909,12398.48003
1998,828.5804793,31902.7671,8281.699982
1999,873.2870617,36026.55608,10672.41793
2000,959.3724836,38532.04088,12256.99357
2001,1053.108243,33846.46564,11561.24837
2002,1148.50829,32289.35054,13165.06574
2003,1288.643252,34808.39092,14672.85747
2004,1508.668098,37688.72234,16496.12009
2005,1753.417829,37217.64873,19402.50263
2006,2099.229435,35433.98896,21743.47745
2007,2693.969827,35275.22843,24086.41044
2008,3468.304463,39339.29757,21350.42798
2009,3832.235952,40855.17564,19143.85161
2010,4550.453596,44507.67639,23087.22564
2011,5618.132491,48167.99727,25096.26388
2012,6316.918863,48603.47665,25466.76052
2013,7050.64592,40454.44746,27182.73431
2014,7678.599432,38109.41211,29249.57522
2015,8066.942424,34524.46986,28732.23108
2016,8147.938148,38761.81815,29288.87044
2017,8879.438149,38386.51115,31616.8434
2018,9976.676822,39159.42356,33340.26515
2019,10261.67913,40246.88013,31761.97769
2020,10408.67,39918.17,31721.3
