"Largest city pop proportion
",China,Japan,Korea
1960,6.351750605,28.49767087,34.06752544
1961,6.120042887,28.44853756,34.751287
1962,5.790299283,28.89114732,35.26238112
1963,5.39028971,29.32645985,35.82453131
1964,5.026150272,29.7737459,36.4743486
1965,4.969627021,30.22648573,37.17456855
1966,4.8484158,30.4914699,37.91806746
1967,4.696198308,30.67544382,38.50091287
1968,4.546833132,31.05681031,39.06388818
1969,4.396685574,30.91008666,39.71488298
1970,4.250722381,31.06331414,40.47432103
1971,4.105680571,31.15452298,40.51125602
1972,3.977167948,31.21281344,40.32933671
1973,3.835424236,31.4598252,40.22225973
1974,3.683563776,31.3777682,40.17348883
1975,3.548467938,31.40141009,40.17090719
1976,3.435309793,31.60017827,39.76451462
1977,3.332066373,31.69316167,39.26780163
1978,3.247903702,31.80571539,38.84002718
1979,3.181995447,31.93863502,38.46598908
1980,3.120809121,32.09187581,38.12627796
1981,3.061306633,32.20591952,37.50817247
1982,2.998156617,32.32320677,36.78399055
1983,2.979700292,32.44002532,36.13978598
1984,2.966090995,32.57320153,35.63185572
1985,2.951680738,32.71388901,35.25715542
1986,2.934588424,32.91046685,34.78521747
1987,2.914868472,33.16588884,34.30742509
1988,2.895920631,33.44627215,33.89279446
1989,2.880019469,33.73404035,33.53130914
1990,2.867021232,34.04775666,33.22414212
1991,2.879533638,34.15815849,32.51214161
1992,2.897506507,34.21736941,31.58926798
1993,2.918791212,34.27715251,30.71341273
1994,2.942074893,34.30565298,29.87483777
1995,2.968101744,34.32017007,29.06972885
1996,2.996771241,34.35753866,28.42816064
1997,3.02765096,34.39237515,27.86635246
1998,3.062128249,34.41649752,27.37568855
1999,3.101274871,34.47188027,26.89722688
2000,3.14493771,34.53252672,26.39464151
2001,3.143400643,34.08694736,26.01029283
2002,3.121433466,33.54422145,25.7270831
2003,3.103329241,33.07274102,25.46454185
2004,3.088659309,32.71891161,25.23683878
2005,3.07661943,32.42547221,25.05999186
2006,3.071147695,32.19979705,24.85830677
2007,3.070701257,32.00577028,24.68879637
2008,3.072776965,31.8640691,24.45854086
2009,3.077506544,31.77043747,24.28985087
2010,3.08494309,31.69277561,24.12661073
2011,3.085413207,31.76141111,23.97682431
2012,3.082929569,31.84483458,23.92554548
2013,3.082163453,31.92375619,23.89108561
2014,3.08295267,31.99927434,23.81554527
2015,3.085590645,32.0668254,23.76451002
2016,3.089139522,32.13791992,23.74433694
2017,3.09401213,32.22434135,23.74791987
2018,3.105277906,32.32230081,23.70102873
2019,3.12208372,32.33236297,23.65986531
2020,3.12,32.27,23.61
